"Name","Mittelbreite","Radius","Taillierung","Gewicht","Größen","Preis","Link"
"BLIZZARD BLACK PEARL 84 24/25 SKI",84,15,"123, 5, 84, 106, 5",1640,"164, 170","585.00","https://www.sport-conrad.com/produkte/blizzard/black-pearl-84.html"
"FACTION LA MACHINE MEGA 24/25 SKI",109,21,"132, 109, 124",1610,"172","599.00","https://www.sport-conrad.com/produkte/faction/la-machine-mega.html"
"DPS CARBON WAILER 107 (INKL. PHANTOM) 24/25 SKI",107,15,"140, 107, 124",2040,"179, 184, 189","1399.95","https://www.sport-conrad.com/produkte/dps/carbon-wailer-107-inkl-phantom.html"
"DYNASTAR M-PRO 94 TI 24/25 SKI",94,17,"128, 94, 118",1800,"170, 178, 186","479.00","https://www.sport-conrad.com/produkte/dynastar/m-pro-94-ti.html"
"DPS CARBON KAIZEN 112 (INKL. PHANTOM) 24/25 SKI",112,15,"140, 112, 127",1920,"168, 178, 184","1695.95","https://www.sport-conrad.com/produkte/dps/carbon-kaizen-112-inkl-phantom.html"
"VÖLKL BLAZE 86 24/25 SKI",86,13,"129, 86, 111",1380,"152","399.00","https://www.sport-conrad.com/produkte/voelkl/blaze-86-sc-4.html"
"K2 MINDBENDER 116C 24/25 SKI",116,225,"143, 116, 132",2260,"177, 182","499.00","https://www.sport-conrad.com/produkte/k2/mindbender-116c-sc-3.html"
"ATOMIC BENT CHETLER MINI 133 - 143 24/25 SKI",90,11,"121, 5, 90, 113",1250,"163","219.00","https://www.sport-conrad.com/produkte/atomic/bent-chetler-mini-133-143.html"
"ARMADA RELIANCE 82 TI 24/25 SKI",82,154,"126, 82, 109",1475,"158, 166","399.00","https://www.sport-conrad.com/produkte/armada/reliance-82-ti.html"
"FISCHER NIGHTSTICK 97 24/25 SKI",96,17,"132, 96, 122",1950,"163, 170, 184","349.00","https://www.sport-conrad.com/produkte/fischer/nightstick-97.html"
"DPS LOTUS 117 (INKL. PHANTOM) 24/25 SKI",117,21,"140, 117, 127",1950,"185, 191","1695.95","https://www.sport-conrad.com/produkte/dps/lotus-117-inkl-phantom.html"
"BLACK DIAMOND IMPULSE 104 TI W 24/25 SKI DAMEN",104,16,"135, 104, 123",1760,"158, 165","549.00","https://www.sport-conrad.com/produkte/black-diamond/impulse-104-ti-w.html"
"SCOTT PURE PRO 109 TI 24/25 SKI",109,21,"142, 109, 128",1850,"172, 182, 190","529.00","https://www.sport-conrad.com/produkte/scott/pure-pro-109-ti.html"
"LINE VISION 104 24/25 SKI",104,19,"132, 104, 123",1810,"158, 171, 178, 185","399.00","https://www.sport-conrad.com/produkte/line/vision-104.html"
"HEAD KORE 105 23/24 SKI",105,178,"135, 105, 125",1840,"184","499.00","https://www.sport-conrad.com/produkte/head/kore-105.html"
"SALOMON QST BLANK 25/26 SKI",112,19,"139, 112, 128",2070,"178, 186, 192","849.95","https://www.sport-conrad.com/produkte/salomon/qst-blank-sc-1.html"
"ROSSIGNOL SENDER FREE 118 24/25 SKI",118,22,"146, 118, 141",2200,"186","599.00","https://www.sport-conrad.com/produkte/rossignol/sender-free-118.html"
"DPS CARBON WAILER 100 (INKL. PHANTOM) 24/25 SKI",100,15,"132, 100, 117",1805,"179, 184, 189","1399.95","https://www.sport-conrad.com/produkte/dps/carbon-wailer-100-inkl-phantom.html"
"BLACK DIAMOND IMPULSE 104 TI W 24/25 SKI DAMEN",104,16,"135, 104, 123",1760,"158, 165","549.00","https://www.sport-conrad.com/produkte/black-diamond/impulse-104-ti-w.html"
"BLACK CROWS CAMOX JR 24/25 SKI KINDER",90,17,"118, 90, 108",1450,"171","469.00","https://www.sport-conrad.com/produkte/black-crows/camox-jr.html"
"MOVEMENT SEQUENCE 92 24/25 SKI",92,155,"129, 92, 118",1500,"177","499.00","https://www.sport-conrad.com/produkte/movement/sequence-92.html"
"SALOMON QST BLANK 25/26 SKI",112,19,"139, 112, 128",2070,"178, 186, 192","849.95","https://www.sport-conrad.com/produkte/salomon/qst-blank-sc-1.html"
"VAN DEER FREERIDE 108 24/25 SKI",108,18,"148, 108, 130",2050,"180, 188","1099.00","https://www.sport-conrad.com/produkte/van-deer/freeride-108-sc.html"
"BLIZZARD SHEEVA TEAM 24/25 SKI",90,125,"118, 5, 90, 108, 5",1230,"148, 164","239.00","https://www.sport-conrad.com/produkte/blizzard/sheeva-team.html"
"BLACK CROWS CAMOX JR 24/25 SKI KINDER",90,17,"118, 90, 108",1450,"171","469.00","https://www.sport-conrad.com/produkte/black-crows/camox-jr.html"
